title,genres,keywords
The Girl in the Spider's Web,Thriller,hacker based on novel or book sweden stockholm sweden sequel computer expert millennium computer programmer father daughter relationship sister sister relationship gifted child
The Strangers: Prey at Night,Horror Thriller,road trip swimming pool sequel murder serial killer slasher home invasion cross country stranger mysterious stranger handgun mobile home
The Book of Henry,Drama Crime Thriller,suicide parent child relationship single mother boy genius seizure
Annie,Comedy Drama Family,new york city child abuse helicopter musical based on play or musical based on comic billionaire orphan foster sister foster child female child abuser 2010s
Wish Upon,Horror Thriller Fantasy,magic wish fulfillment
Live by Night,Crime Drama Thriller,florida based on novel or book prohibition era love revenge betrayal organized crime 1920s 1930s
An American Tail,Drama Family Animation Adventure,new york city cat immigration mouse american dream cossack hanukkah pogrom
An Education,Drama Romance,adolescence parent child relationship age difference self-discovery coming of age based on memoir or autobiography love affair family woman director teaching the ways of the world love and romance teenage life
Witness for the Prosecution,Drama Mystery Crime,nurse widow cigarette alibi letter trial murder lawyer courtroom murder mystery tiki culture
The Tuche Family,Comedy,lottery monaco
Kidnap,Drama Thriller,mother strong woman waitress police single parent chase kidnapping louisiana female protagonist single mother park child kidnapping determination abduction mother son relationship
First Reformed,Drama,suicide funeral explosive faith christianity widow despair pregnancy pastor climate change church choir diary minister barbed wire global warming priest cancer religion morality church alcoholic environment eco terrorism ex-wife environmentalism reverend crisis of faith abortion fatalism upstate new york religious themes religious guilt
Come and See,Drama War,nazi war crimes insanity world war ii surrealism wehrmacht teenage girl atrocity genocide russian army mine field horrors of war premature aging byelorussia children in wartime
The Peanut Butter Falcon,Adventure Comedy Drama,escape runaway wrestling down syndrome on the run wrestling coach raft nursing home disability dream come true escape plan
Don't Look Now... We're Being Shot At!,Comedy War,opera paris france general world war ii conductor bomber paratroops french resistance british soldier nazi occupation house painter 1940s occupied france royal air force
The Lion Guard: Return of the Roar,Family TV Movie Animation,africa lion
Replicas,Science Fiction Thriller Drama,laboratory car accident family consciousness biologist synthetic neuro-scientist police task force
The Sisterhood of the Traveling Pants,Drama Comedy,based on novel or book holiday female friendship jeans coming of age teenage girl summer based on young adult novel
The Possession of Hannah Grace,Horror Drama,rehabilitation morgue cop drug rehabilitation hospital corpse police officer entity graveyard shift
Pride,Drama Comedy,wales london england based on true story lgbt 1980s activism miners strike gay theme
My Life as a Zucchini,Animation Comedy Drama Family Romance,orphanage thief stop motion police officer alcoholic adult animation
Fright Night,Comedy Horror,vampire black humor vampire hunter (slayer) old house boyfriend girlfriend relationship mother son relationship tv actor
The Stepford Wives,Comedy Science Fiction Horror,android transformation housewife
Under the Silver Lake,Crime Drama Mystery,secret society seduction dark comedy surrealism dream sequence voyeur part animation neo-noir hollywood hills subliminal message
Midnight Cowboy,Drama,new york city friendship rape based on novel or book shower texas hustler homelessness rape of a male male homosexuality male prostitution fish out of water gang rape lgbt male bonding polio 1960s
Splash,Comedy Fantasy Romance,new york city bachelor mermaid cape cod produce seller sympathetic
Snake Eyes,Thriller Crime Mystery,assassination casino gambling political activism naval officer atlantic city bribery homicide detective secretary of defense whistleblower corrupt cop boxing match assassination plot navy commander
My Week with Marilyn,Drama Romance,husband wife relationship based on novel or book cinema on cinema movie business platonic love biography historical figure english countryside older woman younger man relationship movie star 1950s film shoot
365 Days: This Day,Romance Drama,gangster sequel bdsm rich man poor woman erotique
The Fisher King,Comedy Drama,homeless person unsociability holy grail sense of guilt loss of loved one cynic gun rampage talk show suppressed past yuppie forgiveness legend self-discovery housebreaking mental illness
Christiane F.,Drama,berlin germany heroin junkie prostitution illegal drugs dramatic critical intense complicated informative
Larry Crowne,Comedy Romance Drama,classroom college diner teacher love loss of job economics yard sale cell phone scooter back to school
The Net,Crime Drama Mystery Thriller Action,computer washington dc usa hacker computer virus cheating chase new identity stalking stolen identity identity theft cyberbullying
Over the Moon,Animation Adventure Family Fantasy,moon rocket
The Discovery,Drama Romance Science Fiction Thriller Mystery,suicide alternative reality life after death
This Is Where I Leave You,Drama Comedy,based on novel or book funeral death of father dysfunctional family man child family mourning grieving hetrosexuality hetrosexism hetrosexual relationship
Fried Green Tomatoes,Drama Comedy,based on novel or book southern usa alabama tomato cafe bee nursing home tomboy lesbian
Greta,Mystery Thriller Horror,new york city paris france psychopath finger stalker basement dog evil roofie older woman younger woman relationship
The Human Centipede 2 (Full Sequence),Drama Horror Crime,baby rape insect sexual obsession suffering sadism kidnapping sadistic exploitation wound victim controversy gore knife deception sequel tools rape victim sexual violence murder sexploitation mute torture sadist cruelty violent death brutality held captive captive extreme sadism centipede mouth perverse sex onanism perverted sexual sadism feces sandpaper pervert humiliation death rapist sexual torture defecation crowbar torture porn hell on earth funnel diarrhea paraphilia vile coprophagia scatology dehumanization
Rose Island,Comedy Adventure,politics political instability based on true story italian history struggle for independence
Land of the Lost,Adventure Comedy Science Fiction,assistant paleontologist alien life-form dinosaur primate duringcreditsstinger
Broken Flowers,Comedy Drama Mystery Romance,unsociability midlife crisis bachelor amateur detective ex-boyfriend ex-girlfriend veterinarian anonymous letter it-expert
Jason X,Horror Science Fiction,future space marine new jersey sadism psychopath cryogenics woods space slaughter serial killer slasher series of murders scientist supernatural horror
Boys Don't Cry,Crime Drama,small town rape identity based on true story romance love friends murder cross dressing anger hate crime woman director nebraska trans man small town murder transphobia gender identity 1990s rural town
Mine,War Thriller,parent child relationship landmine sandstorm hallucination flashback survival stranded soldier desert u.s. marine assassination attempt
The Wicker Man,Horror Mystery Thriller,island california airplane based on novel or book limousine car crash remake allergy bee based on movie folk horror
Once,Drama Music Romance,rock 'n' roll love of one's life composer pop music instrument fascination lovers dublin ireland recording studio pianist ireland love sickness music store street musician songwriting recording session street singer
The Color of Money,Drama,sports pool billiards hustler talent
Tales from Earthsea,Animation Fantasy Adventure,life and death based on novel or book magic sword dragon terramar adult animation wizard anime
Sliding Doors,Comedy Drama Fantasy Romance,double life chance commercial time travel in flagranti marketing alternative reality
I Don't Feel at Home in This World Anymore,Thriller Drama Crime Comedy,snake police kidnapping dark comedy gore vomit thief vigilante dog laptop rowboat degenerate throwing star burglarized
Mother's Day,Comedy Drama Romance,holiday female friendship remarriage interracial marriage single mother divorcee widower single father biological mother parents ex-husband ex-wife relationship boyfriend girlfriend relationship mother's day motherhood difficult parents death of wife outtakes atlanta georgia intersecting lives mother daughter relationship sister sister relationship loss of mother relationships children birth mother lesbian couple surprise visit
My Name Is Khan,Drama Romance,autism mumbai (bombay) india based on true story prejudice religion disability asperger's syndrome asian american
James and the Giant Peach,Adventure Animation Family Fantasy,new york city based on novel or book insect england magic loss of loved one garden musical surrealism aunt anthropomorphism stop motion based on children's book hot dog manhattan new york city empire state building live action and animation
The Spy Next Door,Action Comedy Family,duringcreditsstinger
Nutty Professor II: The Klumps,Fantasy Comedy Romance Science Fiction,mad scientist alter ego family dean duringcreditsstinger research laboratory
White Men Can't Jump,Comedy Drama,friendship sports white trash male friendship racial segregation basketball streetball jeopardy los angeles california buddy hoodlum confidence artist hustling
Short Term 12,Drama,child abuse parent child relationship suicide attempt social worker pregnancy parole incest foster child troubled teen foster care group home care home based on short film
Star Trek: Generations,Science Fiction Action Adventure Thriller,android spacecraft teleportation starship loss of loved one death space opera exploding planet mountain cabin solar system cosmos spanning generations legendary hero spaceship crash outer space emotional instability generazioni
Universal Soldier: The Return,Action Science Fiction,computer program super computer destiny timebomb
The Siege,Drama Action Thriller Crime,new york city muslim undercover agent fbi islam martial law car bomb terrorism political thriller
Baby's Day Out,Family Comedy Adventure Crime Drama,chicago illinois baby kidnapping gorilla stupidity hoodlum child kidnapping lost child baby protagonist child outsmarts adult
Odd Thomas,Mystery Thriller,small town supernatural romance super power
A Lot Like Love,Comedy Drama Romance,career new york city shyness romantic comedy flight travel los angeles california
Titane,Drama Thriller Horror,pregnancy trauma head wound car crash serial killer car accident woman director firefighter masculinity abortion missing son female serial killer woman disguised as man immaculate conception objectum sexuality body horror
Darkman,Action Science Fiction Thriller,mask corruption experiment gangster superhero burn revenge los angeles california scientist madness outsider disfigurement conflagration
Left Behind,Thriller Action Science Fiction,airplane the rapture remake disaster pilot hero
Clerks II,Comedy,aftercreditsstinger duringcreditsstinger day in a life
They Call Me Trinity,Action Comedy Western,gunslinger sheriff saloon brother ranch settler fake identity parody slapstick comedy drifter cowboy mormon spaghetti western identity theft
The Outsiders,Crime Drama,street gang based on novel or book children's home coming of age gang juvenile delinquent tulsa oklahoma based on young adult novel teenager
The Queen,Drama History,dying and death great britain upper class loss of loved one sadness queen paparazzi headline monarchy palace royal family biography based on true story deer british prime minister 1990s british royal family british monarchy westminster abbey princess diana
Save the Last Dance,Drama Family Romance Music,ballet dancer musical ballet
Sweet November,Drama Romance,workaholic dogsitter valentine's day
Dark Places,Thriller Mystery Drama Crime,prison sibling relationship based on novel or book pregnancy satanism witness stripper strip club flashback murder slaughter hired killer murder of family
Super Mario Bros.,Adventure Fantasy Comedy Family,sibling relationship saving the world plumber royalty dinosaur based on video game woman director multiple dimensions
Strange Days,Crime Drama Science Fiction Thriller,future pornography prostitute police brutality dream rape police virtual reality paranoia ex-girlfriend bodyguard rapper dystopia minidisc ex-cop murder cyberpunk los angeles california criminal private detective revolt tech noir woman director
Boyka: Undisputed IV,Action Drama,prison sports wife sequel accidental death fighting
Naked,Comedy,deja vu remake time loop wedding
Grudge Match,Comedy,sports parent child relationship rivalry elderly elderly man
CHiPS,Action Comedy Crime,police police corruption los angeles california buddy cop
The Lizzie McGuire Movie,Family Comedy,rome italy
Free Solo,Documentary Adventure,mountain yosemite mountain climbing woman director free climbing rock climbing el capitan solo climbing
Funny People,Comedy Drama,male friendship comedian cancer
Citizenfour,Documentary,national security agency (nsa) woman director whistleblower surveillance state
The Wave,Thriller Drama Mystery,hotel fjord tsunami norway disaster underwater family in peril geologist avalanche new job disaster movie tourism bomb shelter
Solaris,Drama Science Fiction Mystery,loss of sense of reality based on novel or book loss of loved one clone hallucination space travel grief space psychologist astronaut space station unusual phenomena
Amistad,Drama History Mystery,mutiny cuba sentence slavery historical figure tall ship slave trade
Spanglish,Comedy,immigrant class society mother husband wife relationship single parent language course upper class parent child relationship class illegal immigration language barrier family's daily life platonic love deceived husband usa–mexico border biography relationship problems milieu hysteria single american father figure
Suburra,Crime Drama Thriller,corruption italy mafia church
The Wicker Man,Horror,virgin island based on novel or book sacrifice scotland ritual cemetery investigation cult human sacrifice rural area disappearance paganism policeman psychotronic voyeurism may day folk horror song sea plane harvest festival horror musical
Serial (Bad) Weddings 2,Comedy,marriage racism
The Eagle,Adventure Drama,roman empire scotland slavery eagle ancient rome honor disappearance ancient world britain slave scottish highlands 2nd century hadrian’s wall
Glengarry Glen Ross,Crime Drama Mystery,estate agent robbery office shop contest cowardliness real estate neo-noir
Stuber,Action Comedy,buddy cop uber
The Extraordinary Adventures of Adèle Blanc-Sec,Fantasy Adventure Action Mystery,monster mummy based on comic tomb egyptology adventurer pterodactyl
Asterix & Obelix: God Save Britannia,Family Adventure Comedy,roman based on comic courtship 1st century
Fruitvale Station,Drama,new year's eve police brutality based on true story oakland california racism day in a life
Can You Ever Forgive Me?,Drama Crime Comedy,new york city based on novel or book cat biography based on true story author alcoholic woman director forgery female writer
The Death and Return of Superman,Science Fiction Adventure Animation Action Fantasy,superhero heroes
Urban Legend,Horror Thriller,college murder urban legend slasher killer death
Friend Request,Horror Thriller,college internet vengeful ghost social network social outcast young adult college student facebook
Cabin Fever,Horror,lake college victim lodge vacation woods marijuana homicidal disease lethal virus illness virus locals body horror
Summer of 84,Thriller Mystery Drama Horror,friendship camera cop suburbia paperboy basement murder serial killer teenage crush walkie talkie group of friends news report 1980s retro horror
Leatherface,Horror Thriller Mystery,sheriff escape texas diner chainsaw trailer young abducted girl killer daughter sheriff's daughter
You Again,Comedy Romance,sibling relationship marriage bullying rivalry bully wedding humiliation sister-in-law duringcreditsstinger
See You Up There,Drama Crime War,mask banker paris france world war i painter post world war i orphan graveyard sculptor swindle no man's land gay theme
Doomsday,Action Thriller Science Fiction,quarantine dystopia post-apocalyptic future sword fight futuristic lethal virus action hero 2030s
The Santa Clause 2,Fantasy Comedy Family,magic holiday home christmas party son santa claus wish saving christmas sequel christmas parent teacher romance
Turner & Hooch,Action Comedy Thriller Crime Family,police detective animal actor buddy cop buddy comedy unlikely friendship eating non food pet food pets pet ownership drool
Blindness,Drama Mystery Science Fiction Thriller,blindness and impaired vision based on novel or book fight society asylum leader eye specialist uprising outbreak epidemic doomsday plague
Talk to Her,Drama Romance,dying and death journalist friendship suicide rape coma bullfighting spain sexual abuse madrid spain pregnancy car crash matador (bullfighter) hospital
The Remains of the Day,Drama Romance,newspaper london england nazi england butler country house loyalty britain housekeeper employer told in flashback 1950s 1930s
Sleepless,Action Crime Thriller,robbery kidnapping gangster mobster organized crime undercover cop police corruption las vegas they got t
Mission: Impossible - Dead Reckoning Part One,Action Thriller,race against time mission rome italy chase secret mission secret agent sequel intelligence agency rogue agent based on tv series secret government agency serious northern norway exhilarated
Freddy's Dead: The Final Nightmare,Horror Thriller,amnesia dream nightmare sadism psychopath supernatural ohio sequel alternate dimension murder memory loss psychologist memory slasher killer disfigurement duringcreditsstinger woman director nightmare becomes reality halfway house supernatural horror
Stay,Mystery Thriller Drama,loss of sense of reality time warp suicide attempt psychiatrist parallel world
A Monster in Paris,Adventure Animation Comedy Family Fantasy,monster paris france
Vampires Suck,Horror Comedy,high school vampire parody spoof prom horror spoof duringcreditsstinger
Manhunter,Crime Horror Thriller,journalist loss of loved one psychopath fbi investigation covered investigation full moon cult eye serial killer crime scene brutality videotape depravity neo-noir 1980s malevolence homicide investigation hannibal lecter
Fist Fight,Comedy,high school high school teacher
Rock of Ages,Comedy Drama Music Romance,coming out love triangle rock star musical moral conflict record producer based on play or musical alcoholism rocker gay interest hollywood los angeles california rock musical young love music journalism corrupt mayor freelance journalist 1980s sunset strip jukebox musical church lady
I Can Quit Whenever I Want 2: Masterclass,Action Comedy Crime,illegal drugs
The Motorcycle Diaries,Drama,based on novel or book communist peru revolution asthma che guevara cuban revolution chile argentina motorcycle guajira peninsula leper colony biochemist road movie
The Chaser,Crime Thriller Action,prostitute kidnapping psychopath pimp investigation gore rope based on true story flu serial killer psychological thriller cell phone dog tied up meat hook chisel seoul south korea
The Man from Nowhere,Action Thriller Crime,friendship martial arts assassin hero hitman child labour human trafficking protection revenge tragic hero disappearance drugs neo-noir organ harvest
The Specialist,Action Thriller,based on novel or book explosive fistfight revenge organized crime urban setting explosives expert neo-noir action hero
Heart of Stone,Thriller Action,mission saving the world undercover agent undercover espionage spy secret agent mi6 british spy female spy
Wanderlust,Comedy Romance,hippie commune nudism nude protest aftercreditsstinger duringcreditsstinger naturism
Fearless,Drama Action,blindness and impaired vision friendship martial arts kung fu shanghai china hope patriotism sake rice restaurant tea exile biography beggar based on true story respect historical qing dynasty
The Thirteenth Floor,Thriller Science Fiction Mystery,artificial intelligence (a.i.) based on novel or book computer program virtual reality dystopia simulation surrealism remake los angeles california parallel world alternate reality existentialism mind transfer neo-noir 1990s 1930s
Bullet to the Head,Action Crime Thriller,corruption bomb detective mercenary louisiana lawyer shootout ex-con
Shaft,Action Adventure Crime Thriller,drug dealer new york city corruption sibling relationship based on novel or book italian american remake revenge murder drugs police officer xenophobia lucifer morningstar african american
Fantasia 2000,Animation Family Music,magic classical music orchestra musical live action and animation magician
I Lost My Body,Animation Drama Fantasy,based on novel or book cartoon surrealism flashback adult animation severed hand pizza delivery boy crawling hand librarian
Insidious: The Red Door,Horror Mystery Thriller,sequel demon franchise insidious supernatural horror evil spirits fifth part
Westworld,Adventure Science Fiction Western,future android man vs machine saloon old town vacation survival robot as menace theme park
High Tension,Horror Thriller Mystery,insanity mass murder gore survival decapitation impalement chainsaw corpse massacre maniac home invasion bound and gagged circular saw bludgeoning mutilation isolated farmhouse french countryside bad guy butchery new french extremism extreme lesbian
My Fair Lady,Romance Drama Comedy,transformation musical flower girl colonel suitor wager class differences tutor aristocrat linguist high society misogynist guttersnipe class prejudice opposites attract pygmalion
Lady and the Tramp II: Scamp's Adventure,Family Animation Romance Adventure,initiation cartoon dog dogcatcher dog pound firefly runaway child
Friday the 13th: The Final Chapter,Horror,lake new jersey sadism psychopath morgue resurrection sequel woods slaughter serial killer slasher series of murders hitchhike supernatural horror
Runner Runner,Crime Thriller Drama,casino gambling gambling debt fbi puerto rico dirty cop agent
Wish Dragon,Animation Family Comedy Fantasy,wish dragon
Takers,Action Crime Drama Thriller,bank armored car heist bank robbery cops and robbers  armored car robbery
"Roman J. Israel, Esq.",Drama Crime Thriller,briefcase civil rights murder lawyer los angeles california courtroom
Kronk's New Groove,Animation Comedy Family,friendship competition sequel
Cinderella III: A Twist in Time,Animation Romance Family Fantasy,magic fairy prince musical sequel fairy godmother
Un Chien Andalou,Fantasy,dream midnight movie donkey cloud razor ant surreal surrealism priest death psychotronic severed hand piano short film
The Final Girls,Comedy Horror,virgin summer camp parent child relationship parody film in film murder spoof serial killer camp slasher horror spoof car accident strip tease camp counselor accident 1980s horror comedy camp bloodbath horror parody
Amsterdam,Mystery History Thriller,investigation based on true story conspiracy duringcreditsstinger framed for murder 1930s
Cocoon,Comedy Drama Science Fiction,florida swimming pool alien mahjong boat trouble cocoon senior citizen retirement community giving away money retirement home trespass defibrillation charter boat elderly benign alien golden years rejuvenate
The Red Turtle,Animation Drama Fantasy Family,coming of age survival loneliness crab raft sea turtle deserted island flood anime
I Spit on Your Grave 2,Thriller Horror Crime,rape exploitation sequel revenge model american express rape and revenge
Outlander,Science Fiction Action,monster flying saucer predator viking norway alien alien invasion
The Addams Family 2,Animation Adventure Comedy Family Fantasy Horror,kidnapping supernatural grand canyon niagara falls family san antonio texas scientific experiment comedy
Sky Captain and the World of Tomorrow,Mystery Action Thriller Science Fiction Adventure,journalist london england himalaya mountain range killer robot computer war steampunk robot
Barbie as Rapunzel,Animation Family,based on toy based on fairy tale
Serial Teachers,Comedy,high school school teacher
Risky Business,Romance Comedy Drama,high school brothel coming of age prostitution
Quarantine,Horror Science Fiction Thriller,quarantine remake tv reporter found footage virus
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,hip-hop slang date gangster cousin parody social satire hood gang racism
The Rescuers Down Under,Animation Adventure Family Fantasy,australia diamond kidnapping mouse alligator baby-snatching eagle sequel poacher nest waterfall australian outback
Brahms: The Boy II,Horror Mystery Thriller,country house murder mansion home invasion doll
Double Jeopardy,Thriller Crime Mystery Drama,sailboat court case sailing trip new orleans louisiana ferry boat women's prison ex-cop parole board wrongful imprisonment courtroom ex-con lost at sea parolee mother child separation revenge plot double jeopardy probation officer murder suspect prison life determination halfway house paintings convicted murderer revenge thriller best friends puget sound whidbey island mother looking for child
The Body,Thriller Mystery,prison infidelity identity poison detective morgue femme fatale love revenge murder missing person
The Bye Bye Man,Horror Thriller,wisconsin supernatural urban legend hooded figure woman director young adult college student
The Fall,Adventure Fantasy Drama,suicide attempt remake morphine hospital storytelling 1920s hopeful
Cherry,Drama Crime,post-traumatic stress disorder (ptsd) based on novel or book war veteran heroin drug addiction bank robber us army iraq war veteran iraq war army medic
Jaws 3-D,Thriller Horror,florida diving dolphin sequel scuba diving creature swimming shark great white shark killer shark giant animal theme park water skiing boat trouble sea world orlando florida
Selena,Drama Music History,texas biography singer elopement bustier fan club corpus christi
Blonde,Drama,suicide rape husband wife relationship based on novel or book pregnancy overdose psychological stress biography celebrity psychological abuse fame domestic violence hollywood los angeles california reality vs fantasy substance abuse starlet traumatic childhood mother daughter relationship absent father marilyn monroe
The Titan,Science Fiction Thriller,husband wife relationship sacrifice nasa dystopia transformation pilot saturn swimming pool murder genetic mutation human experiment scientific experiment
Cult of Chucky,Horror Thriller,voodoo evil doll mental institution killer doll serial killer slasher killer toys toy comes to life possessed doll supernatural power
Mudbound,Drama,farm post-traumatic stress disorder (ptsd) based on novel or book war veteran ku klux klan mississippi river world war ii air force alcoholism racism lynching post war post world war ii sharecropper military veteran
A Perfect Getaway,Thriller Mystery Adventure,hawaii honeymoon double murder murder whodunit
Five,Comedy,video game
No Reservations,Comedy Romance Drama,new love funeral loss of loved one italy competition cooking mother role bars and restaurants restaurant perfectionist fine dining
Jack,Comedy Family Drama,genetics age difference body exchange
Bound by Honor,Crime Action Drama Thriller,street gang ghetto juvenile prison artist jail east los angeles youth gang hood gang racism drugs mexican american barrio police shootout cholo lowrider
Popstar: Never Stop Never Stopping,Comedy Music,concert musician pop star celebrity mockumentary record album
Toc Toc,Comedy,obsessive compulsive disorder
The Rainmaker,Drama Crime Thriller,court case jurors proof leukemia lawyer courtroom legal thriller
The Brice Man,Comedy,surfer french riviera surf riviera
Mean Girls 2,Comedy,woman director high school rivalry
The Water Diviner,War Drama,australia based on true story post world war i farmer missing in action missing son gallipoli campaign
Tau,Science Fiction Thriller Horror,artificial intelligence (a.i.) kidnapping escape attempt
Star Trek VI: The Undiscovered Country,Science Fiction Action Adventure Thriller,spacecraft plan farewell court case teleportation starship uss enterprise-a rura penthe peace conference peace contract conspiracy political assassination space opera mentor protégé relationship environmental disaster outer space
Hackers,Action Crime Thriller Drama,new york city computer hacker computer virus virtual reality prank internet cyberpunk hacking secret service dream sequence
Wasabi,Drama Action Comedy,police brutality hitman handcuffs yakuza love letter police operation golf club brutal cop transphobia abuse of power
PAW Patrol: The Movie,Animation Family Adventure Comedy,cartoon dog animal kids
Cosmopolis,Drama,homeless person bookshop bodyguard paparazzi limousine anarchist murder billionaire limousine driver squatting barber voice recognition deformity
Windtalkers,War Drama Action History,japan world war ii radio transmission marine corps us army native american code based on true story navajo pacific war war hero
Cell 211,Action Thriller Drama,suicide husband wife relationship based on novel or book pregnancy prison cell penitentiary prison guard flashback jail eta terrorist group walkie talkie prison riot surveillance camera wrist slitting gagged violence
Red Lights,Thriller,dream experiment talk show obsession fraud revelation paranormal con artist clairvoyance attack psychic skepticism polaroid camera levitation
Mr. Magorium's Wonder Emporium,Family Fantasy Comedy,rescue darkness magic faith puppet toy shop sell wizard aftercreditsstinger piano
Return to Sender,Drama Thriller,prison rape nurse date flirting rape and revenge
Wings of Desire,Drama Fantasy Romance,berlin germany dream library circus angel berlin wall immortality mortality
Bachelorette,Comedy Romance,new york city female friendship strip club overweight woman drug use reunion wedding drinking high school friends maid of honor wedding dress immaturity ex-boyfriend ex-girlfriend relationship woman director emergency bachelorette party jealous friend embarrasment partying two-faced friend's wedding bridesmaids
Escape from Pretoria,Drama History Thriller,based on novel or book 1970s political activism apartheid anc (african national congress) based on true story racism prison break antiracism political persecution pretoria south africa
MouseHunt,Comedy Family,factory worker factory sibling relationship winter loss of loved one auction cooking mouse restaurant house trap slapstick comedy inheritance explosion chef exterminator flood auctioneer rodent mousetrap mouse hunt string
"Big Mommas: Like Father, Like Son",Crime Comedy Action,undercover fbi sequel disguise impersonation duringcreditsstinger
The Witches,Fantasy Horror Comedy Family,hotel witch based on novel or book grandparent grandchild relationship mouse transformation tree house based on children's book seaside
The Place,Drama Thriller Mystery,mysterious man set in one room ensemble cast
When in Rome,Comedy Fantasy Romance,new york city rome italy romantic comedy love duringcreditsstinger enchant
Ibiza,Comedy Romance,spain nightclub ibiza best friend american dj
Young Adult,Comedy Drama,jealousy dark comedy writer divorce alcoholic arrested development
Soylent Green,Science Fiction Thriller,based on novel or book paranoia dystopia greenhouse effect global warming overpopulation water shortage cannibal genocide murder investigation colony collapse disorder eutanasia assisted suicide crime against humanity murder case food shortage societal collapse processing plant environmental collapse dystopian future
Elizabeth: The Golden Age,Drama History Romance,assassination england queen elizabeth i religious war tudor armada catholicism sea battle palace intrigue 16th century lgbt interest
Young & Beautiful,Drama,france sexuality teenage girl prostitution teenage sexuality exploring sexuality adolescent sexuality
This Must Be the Place,Drama,rock 'n' roll michigan parent child relationship new mexico surrealism dublin ireland relationship ex-nazi teen suicide stock exchange
Timecrimes,Science Fiction Thriller,scissors time travel radio surrealism bicycle woods car accident scientist machine binoculars injury voyeur loop
Runaway Jury,Drama Thriller,court case gun rampage firearm jury courtroom drama lobbyist legal thriller
The Black Cauldron,Animation Adventure Family Fantasy,based on novel or book pig magic sword fairy dragon fantasy world cauldron evil ruler mystical quest teenage protagonist
Thunder Force,Action Adventure Comedy Science Fiction,superhero parody trueno patrulla
Fear City: A Family-Style Comedy,Comedy,france movie business bodyguard dark comedy film in film serial killer sickle vomiting press agent 1990s cannes hammer
The Animal,Comedy,dream employee car crash scientist police officer organ donation aftercreditsstinger virility
Starstruck,Romance Comedy TV Movie Music,beach sibling relationship pop singer paparazzi romantic comedy celebrity love hiding running away ordinary girl
Righteous Kill,Action Crime Drama Thriller,revenge murder dirty cop
This Is England,Drama Crime,skinhead england vandalism drugs falklands war xenophobia 1980s
Forever My Girl,Romance Drama Music,second chance hometown father daughter relationship
Innerspace,Action Comedy Science Fiction,experiment san francisco california shrinking test pilot
Halloween: Resurrection,Horror Thriller,sibling relationship innocence sequel serial killer holiday horror
Taxi 4,Action Comedy,marseille france
The Upside,Comedy Drama,based on true story remake class differences caregiver man in wheelchair interracial friendship social differences rich man quadriplegia male nurse handicapped disabled person feel good
Personal Shopper,Drama Mystery Thriller,london england paris france loss of loved one medium poltergeist grief murder apparition female protagonist spirit model twins text message shopping ghost death of brother dress shop dead brother personal shopper contacting spirits clothes shopping
Out of Sight,Romance Comedy Crime,bedroom prison escape heist u.s. marshal locked in trunk of car elmore leonard diamond theft car trunk
Home Again,Comedy Drama Romance,chance love hollywood los angeles california family woman director
Babe: Pig in the City,Adventure Comedy Drama Family Fantasy,farm pig piggy bank piglet anthropomorphism talking dog dog chimpanzee talking pig
Sabrina,Comedy Romance,chauffeur sibling relationship champagne playboy love teenage crush millionaire high society manhattan new york city impossible love family disapproval
Home Alone 4,Comedy Family TV Movie,fight burglar holiday house father crook couple alone family relationships slapstick comedy little boy home invasion precocious child home alone mischievous child christmas kids on their own
Mallrats,Romance Comedy,game show slacker shopping mall ex-boyfriend ex-girlfriend relationship silent man coke bandleader aftercreditsstinger
Second Act,Romance Comedy,new york city career woman forty something best friend second chance job hunting assistant manager facebook career resurrection finance street smarts secret innovator passed over for promotion
The Last Castle,Action Drama Thriller,prison general military officer investigation coercion oppression us military
Time Lapse,Thriller Science Fiction Mystery Horror,future gambling gambling debt photography journey in the past time travel
Superman IV: The Quest for Peace,Action Adventure Science Fiction,saving the world superhero mountain nuclear missile convertible us army sequel alter ego laboratory super power catholic school newspaper editor nuclear weapons disarmament volcanic eruption great wall of china superhuman strength
Hop,Animation Comedy Family,coup d'etat slacker easter easter bunny aftercreditsstinger live action and animation illumination
The Rum Diary,Comedy Drama,newspaper journalist based on novel or book alcohol voodoo puerto rico carnival protest debate fire breathing vomiting cockfight rum brochure tongue drunkenness 1960s
Amy,Documentary Music,jazz drug addiction rehabilitation overdose jazz singer or musician biography addiction drug rehabilitation drug overdose addict eating disorder downward spiral
Pig,Drama Thriller,expensive restaurant pig loss of loved one portland oregon misanthrophy grief cabin in the woods chef loss of pet loner grieving pets truffles
Beneath the Planet of the Apes,Adventure Science Fiction Mystery,dystopia mutant astronaut ape worship
The Lodge,Drama Horror Thriller,suicide winter massachusetts thanksgiving stepmother murder snow cabin divorce dead dog ice skating cult leader religious cult christmas
In Her Shoes,Comedy Drama Romance,hotel florida newspaper suicide beach philadelphia pennsylvania based on novel or book bride liar wine dyslexia bikini flashback love money grief lawyer wedding audition death drunk shoe deceit rumor snooping blame sister sister relationship dramatic
Lost in Space,Science Fiction Adventure,future time travel robot sabotage deep space 2050s
Domino,Action Crime,bounty hunter fbi based on true story strip club action hero
RoboCop 3,Action Adventure Crime Science Fiction Thriller,police cyborg dystopia sequel cyberpunk policeman
Analyze That,Comedy Crime,prison gold therapist gangster
